i best mean
0 97.2990149349 97.2990149349
1 97.2990149349 96.1223756845
2 97.2990149349 95.3328595602
3 97.4228444162 95.8553557742
4 97.7650063857 96.2372858965
5 97.7650063857 95.968236805
6 97.8900255754 96.2427780579
7 97.8900255754 96.2827556193
8 97.8900255754 96.1867976268
9 97.8900255754 95.8751087456
10 97.8900255754 96.0582830028
11 97.8900255754 95.9435518332
12 97.8900255754 95.9911708114
13 97.8900255754 95.9652109439
14 97.8900255754 95.9070747278
15 97.8900255754 95.9613970959
16 97.8900255754 96.0021408199
17 97.8900255754 96.0332773604
18 97.8900255754 96.0277005675
19 97.8900255754 96.0256885799
20 97.8900255754 96.0483573797
21 97.8900255754 96.0401252759
22 97.8900255754 95.9595287066
23 97.8900255754 96.0205001945
24 97.8900255754 96.0336764108
25 97.8900255754 96.0458390719
26 97.8900255754 95.9920583528
27 97.8900255754 96.0420511797
28 97.8900255754 96.047447857
29 97.8900255754 96.013670938
30 97.8900255754 96.0541366088
31 97.8900255754 96.0380142626
32 97.8900255754 96.0255814869
33 97.8900255754 96.0503608468
34 98.4882598906 96.1200151052
35 98.4882598906 96.1080007967
36 98.4882598906 96.1285434704
37 98.4882598906 96.1067487043
38 98.4882598906 96.0983010762
39 98.4882598906 96.0857904741
40 98.4882598906 96.0989063296
41 98.4882598906 96.0998406447
42 98.4882598906 96.1042468664
43 98.4882598906 96.0873253701
44 98.4882598906 96.0884547522
45 98.4882598906 96.0439615846
46 98.4882598906 96.0325671192
47 98.4882598906 95.9573841602
48 98.4882598906 95.9427652496
49 98.4882598906 95.9867304575
50 98.4882598906 96.0088310331
51 98.4882598906 96.0026515902
52 98.4882598906 96.0400355224
53 98.4882598906 96.0531025611
54 98.4882598906 96.0535518986
55 98.4882598906 96.062098407
56 98.4882598906 96.0383913284
57 98.4882598906 96.0385514572
58 98.4882598906 96.0704629638
59 98.4882598906 96.0715910405
60 98.4882598906 96.0886774139
61 98.4882598906 96.1202592285
62 98.4882598906 96.071392077
63 98.4882598906 96.0584180999
64 98.4882598906 96.08179744
65 98.4882598906 96.0452215442
66 98.5833869929 96.0831046106
67 98.5833869929 96.0946483622
68 98.5833869929 96.07927868
69 98.5833869929 96.0601475418
70 98.5833869929 96.0362096145
71 98.5833869929 96.0186153314
72 98.5833869929 96.0302518299
73 98.5833869929 96.0617580073
74 98.5833869929 96.0547775209
75 98.5833869929 96.0826421744
76 98.5833869929 96.0876900624
77 98.5833869929 96.1048074259
78 98.5833869929 96.0721483494
79 98.5833869929 96.0610195755
80 98.5833869929 96.0498004263
81 98.5833869929 96.0338284578
82 98.5833869929 96.0347217581
83 98.5833869929 96.0259791462
84 98.5833869929 95.9905366355
85 98.5833869929 96.0159082
86 98.5833869929 96.0187027958
87 98.5833869929 96.0367764089
88 98.5833869929 96.0492246521
89 98.5833869929 96.0627677863
90 98.5833869929 96.0679259026
91 98.5833869929 96.0637908384
92 98.5833869929 96.046728714
93 98.5833869929 96.057426259
94 98.5833869929 96.0601859547
95 98.5833869929 96.0476579438
96 98.5833869929 96.0489021063
97 98.5833869929 96.0569484588
98 98.5833869929 96.0487071365
99 98.5833869929 96.0450950651
